[italic] uni1E00: added inherited anchor class 0 = (505, 850) from 'A'
[italic] uni1E01: added inherited anchor class 0 = (341, 647) from 'a'
[italic] uni1E04: added inherited anchor class 0 = (447, 850) from 'B'
[italic] uni1E05: base 'b' has no anchor class 0; SKIPPED
[italic] uni1E06: added inherited anchor class 0 = (447, 850) from 'B'
[italic] uni1E07: base 'b' has no anchor class 0; SKIPPED
[italic] uni1E0C: added inherited anchor class 0 = (396, 850) from 'D'
[italic] uni1E0D: added inherited anchor class 0 = (218, 645) from 'd'
[italic] uni1E0E: added inherited anchor class 0 = (396, 850) from 'D'
[italic] uni1E0F: added inherited anchor class 0 = (218, 645) from 'd'
[italic] uni1E10: added inherited anchor class 0 = (396, 850) from 'D'
[italic] uni1E11: added inherited anchor class 0 = (218, 645) from 'd'
[italic] uni1E12: added inherited anchor class 0 = (396, 850) from 'D'
[italic] uni1E13: added inherited anchor class 0 = (218, 645) from 'd'
[italic] uni1E18: added inherited anchor class 0 = (413, 850) from 'E'
[italic] uni1E19: added inherited anchor class 0 = (332, 645) from 'e'
[italic] uni1E1A: added inherited anchor class 0 = (413, 850) from 'E'
[italic] uni1E1B: added inherited anchor class 0 = (332, 645) from 'e'
[italic] uni1E24: added inherited anchor class 0 = (481, 850) from 'H'
[italic] uni1E25: added inherited anchor class 0 = (409, 645) from 'h'
[italic] uni1E28: added inherited anchor class 0 = (481, 850) from 'H'
[italic] uni1E29: added inherited anchor class 0 = (409, 645) from 'h'
[italic] uni1E2A: added inherited anchor class 0 = (481, 850) from 'H'
[italic] uni1E2B: added inherited anchor class 0 = (409, 645) from 'h'
[italic] uni1E2C: added inherited anchor class 0 = (316, 850) from 'I'
[italic] uni1E32: added inherited anchor class 0 = (466, 850) from 'K'
[italic] uni1E33: added inherited anchor class 0 = (405, 646) from 'k'
[italic] uni1E34: added inherited anchor class 0 = (466, 850) from 'K'
[italic] uni1E35: added inherited anchor class 0 = (405, 646) from 'k'
[italic] uni1E36: added inherited anchor class 0 = (389, 850) from 'L'
[italic] uni1E37: added inherited anchor class 0 = (292, 890) from 'l'
[italic] uni1E3A: added inherited anchor class 0 = (389, 850) from 'L'
[italic] uni1E3B: added inherited anchor class 0 = (292, 890) from 'l'
[italic] uni1E3C: added inherited anchor class 0 = (389, 850) from 'L'
[italic] uni1E3D: added inherited anchor class 0 = (292, 890) from 'l'
[italic] uni1E42: added inherited anchor class 0 = (557, 850) from 'M'
[italic] uni1E43: added inherited anchor class 0 = (522, 645) from 'm'
[italic] uni1E46: added inherited anchor class 0 = (476, 850) from 'N'
[italic] uni1E47: added inherited anchor class 0 = (394, 646) from 'n'
[italic] uni1E48: added inherited anchor class 0 = (476, 850) from 'N'
[italic] uni1E49: added inherited anchor class 0 = (394, 646) from 'n'
[italic] uni1E4A: added inherited anchor class 0 = (476, 850) from 'N'
[italic] uni1E4B: added inherited anchor class 0 = (394, 646) from 'n'
[italic] uni1E5A: added inherited anchor class 0 = (419, 850) from 'R'
[italic] uni1E5B: added inherited anchor class 0 = (312, 646) from 'r'
[italic] uni1E5E: added inherited anchor class 0 = (419, 850) from 'R'
[italic] uni1E5F: added inherited anchor class 0 = (312, 646) from 'r'
[italic] uni1E62: added inherited anchor class 0 = (402, 850) from 'S'
[italic] uni1E63: added inherited anchor class 0 = (327, 645) from 's'
[italic] uni1E6C: added inherited anchor class 0 = (457, 850) from 'T'
[italic] uni1E6D: base 't' has no anchor class 0; SKIPPED
[italic] uni1E6E: added inherited anchor class 0 = (457, 850) from 'T'
[italic] uni1E6F: base 't' has no anchor class 0; SKIPPED
[italic] uni1E70: added inherited anchor class 0 = (457, 850) from 'T'
[italic] uni1E71: base 't' has no anchor class 0; SKIPPED
[italic] uni1E72: original base anchor class 0 exists {0: (346, 850)}
[italic] uni1E73: original base anchor class 0 exists {0: (255, 646)}
[italic] uni1E74: added inherited anchor class 0 = (486, 850) from 'U'
[italic] uni1E75: added inherited anchor class 0 = (386, 646) from 'u'
[italic] uni1E76: added inherited anchor class 0 = (486, 850) from 'U'
[italic] uni1E77: added inherited anchor class 0 = (386, 646) from 'u'
[italic] uni1E7E: added inherited anchor class 0 = (481, 850) from 'V'
[italic] uni1E7F: base 'v' has no base anchors; SKIPPED
[italic] uni1E88: added inherited anchor class 0 = (610, 850) from 'W'
[italic] uni1E89: added inherited anchor class 0 = (348, 646) from 'w'
[italic] uni1E92: added inherited anchor class 0 = (450, 850) from 'Z'
[italic] uni1E93: added inherited anchor class 0 = (360, 646) from 'z'
[italic] uni1E94: added inherited anchor class 0 = (450, 850) from 'Z'
[italic] uni1E95: added inherited anchor class 0 = (360, 646) from 'z'
[italic] uni1E96: added inherited anchor class 0 = (409, 645) from 'h'
[italic] uni1EA0: added inherited anchor class 0 = (505, 850) from 'A'
[italic] uni1EA1: added inherited anchor class 0 = (341, 647) from 'a'
[italic] uni1EB8: added inherited anchor class 0 = (413, 850) from 'E'
[italic] uni1EB9: added inherited anchor class 0 = (332, 645) from 'e'
[italic] uni1ECA: added inherited anchor class 0 = (316, 850) from 'I'
[italic] uni1ECC: added inherited anchor class 0 = (515, 850) from 'O'
[italic] uni1ECD: added inherited anchor class 0 = (359, 645) from 'o'
[italic] uni1EE4: added inherited anchor class 0 = (486, 850) from 'U'
[italic] uni1EE5: added inherited anchor class 0 = (386, 646) from 'u'
[italic] uni1EF4: added inherited anchor class 0 = (435, 850) from 'Y'
[italic] uni1EF5: added inherited anchor class 0 = (367, 644) from 'y'
[italic] uni1E02: added inherited anchor class 2 = (238, -108) from 'B'
[italic] uni1E03: added inherited anchor class 2 = (214, -108) from 'b'
[italic] uni1E0A: added inherited anchor class 2 = (279, -107) from 'D'
[italic] uni1E0B: added inherited anchor class 2 = (221, -107) from 'd'
[italic] uni1E14: added inherited anchor class 2 = (269, -107) from 'E'
